"region","variable","residence","Unit","Date","Value"
"Gidan-Wereda","Population, Both Sexes","Total","Persons","2007","158428"
"Meket-Wereda","Population, Both Sexes","Total","Persons","2007","226644"
"Wadla-Wereda","Population, Both Sexes","Total","Persons","2007","128170"
"Delanta-Wereda","Population, Both Sexes","Total","Persons","2007","127771"
"Gubalafto-Wereda","Population, Both Sexes","Total","Persons","2007","139825"
"Habru-Wereda","Population, Both Sexes","Total","Persons","2007","192742"
"Lasta-Wereda","Population, Both Sexes","Total","Persons","2007","117777"
"Dawunt-Wereda","Population, Both Sexes","Total","Persons","2007","65363"
"South Wello-Zone","Population, Both Sexes","Total","Persons","2007","2518862"
"Mekdela-Wereda","Population, Both Sexes","Total","Persons","2007","142654"
"Tenta-Wereda","Population, Both Sexes","Total","Persons","2007","166239"
"Kutaber-Wereda","Population, Both Sexes","Total","Persons","2007","95410"
"Ambasel-Wereda","Population, Both Sexes","Total","Persons","2007","121899"
"Tehuledere-Wereda","Population, Both Sexes","Total","Persons","2007","117877"
"Werebabu-Wereda","Population, Both Sexes","Total","Persons","2007","100530"
"Kalu-Wereda","Population, Both Sexes","Total","Persons","2007","186181"
"Albuko-Wereda","Population, Both Sexes","Total","Persons","2007","77167"
"Dessie Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","157679"
"Legambo-Wereda","Population, Both Sexes","Total","Persons","2007","165026"
"Sayint-Wereda","Population, Both Sexes","Total","Persons","2007","144972"
"Debresina-Wereda","Population, Both Sexes","Total","Persons","2007","158209"
"Kelela-Wereda","Population, Both Sexes","Total","Persons","2007","136545"
"Jama-Wereda","Population, Both Sexes","Total","Persons","2007","126879"
"Were Ilu-Wereda","Population, Both Sexes","Total","Persons","2007","109244"
"Wegidi-Wereda","Population, Both Sexes","Total","Persons","2007","135240"
"Mehal Saynt-Wereda","Population, Both Sexes","Total","Persons","2007","73432"
"Legahida-Wereda","Population, Both Sexes","Total","Persons","2007","67138"
"North Shewa-Zone","Population, Both Sexes","Total","Persons","2007","1837490"
"Mida Woremo-Wereda","Population, Both Sexes","Total","Persons","2007","93729"
"Merhabete-Wereda","Population, Both Sexes","Total","Persons","2007","126501"
"Ensaro-Wereda","Population, Both Sexes","Total","Persons","2007","58203"
"Moretna Jiru-Wereda","Population, Both Sexes","Total","Persons","2007","92937"
"Menz Gera Midir-Wereda","Population, Both Sexes","Total","Persons","2007","120469"
"Gishe-Wereda","Population, Both Sexes","Total","Persons","2007","61521"
"Antsokiya Gemza-Wereda","Population, Both Sexes","Total","Persons","2007","79091"
"Efrata Gidim-Wereda","Population, Both Sexes","Total","Persons","2007","110493"
"Menz Mama Midir-Wereda","Population, Both Sexes","Total","Persons","2007","85129"
"Tarma Ber-Wereda","Population, Both Sexes","Total","Persons","2007","84481"
"Mojana Waderea-Wereda","Population, Both Sexes","Total","Persons","2007","69667"
"Kewet-Wereda","Population, Both Sexes","Total","Persons","2007","118381"
"Angolala Tera-Wereda","Population, Both Sexes","Total","Persons","2007","82349"
"Asagirt-Wereda","Population, Both Sexes","Total","Persons","2007","48371"
"Ankober-Wereda","Population, Both Sexes","Total","Persons","2007","76510"
"Hagere Mariam Kesem-Wereda","Population, Both Sexes","Total","Persons","2007","55235"
"Berehet-Wereda","Population, Both Sexes","Total","Persons","2007","34810"
"Minjar Shenkora-Wereda","Population, Both Sexes","Total","Persons","2007","128879"
"Basona Werana-Wereda","Population, Both Sexes","Total","Persons","2007","120930"
"Menz Keya Gebreal-Wereda","Population, Both Sexes","Total","Persons","2007","46219"
"Menz Lalo Midir-Wereda","Population, Both Sexes","Total","Persons","2007","17308"
"Saya Debirna Wayu-Wereda","Population, Both Sexes","Total","Persons","2007","61046"
"East Gojjam Zone","Population, Both Sexes","Total","Persons","2007","2153937"
"Bibugn-Wereda","Population, Both Sexes","Total","Persons","2007","82002"
"Hulet Ej Enese-Wereda","Population, Both Sexes","Total","Persons","2007","275638"
"Goncha Siso Enese-Wereda","Population, Both Sexes","Total","Persons","2007","149646"
"Enebse Sar Midir-Wereda","Population, Both Sexes","Total","Persons","2007","133855"
"Enarj Enawga-Wereda","Population, Both Sexes","Total","Persons","2007","167402"
"Enemay-Wereda","Population, Both Sexes","Total","Persons","2007","165292"
"Debay Tilatgen-Wereda","Population, Both Sexes","Total","Persons","2007","128045"
"Debre Elias-Wereda","Population, Both Sexes","Total","Persons","2007","82150"
"Machakel-Wereda","Population, Both Sexes","Total","Persons","2007","118097"
"Gozamin-Wereda","Population, Both Sexes","Total","Persons","2007","132883"
"Baso Liben-Wereda","Population, Both Sexes","Total","Persons","2007","138332"
"Awabel-Wereda","Population, Both Sexes","Total","Persons","2007","121588"
"Dejen-Wereda","Population, Both Sexes","Total","Persons","2007","102359"
"Shebel Berenta-Wereda","Population, Both Sexes","Total","Persons","2007","103988"
"Sinan-Wereda","Population, Both Sexes","Total","Persons","2007","98939"
"Aneded-Wereda","Population, Both Sexes","Total","Persons","2007","91224"
"West Gojjam-Zone","Population, Both Sexes","Total","Persons","2007","2106596"
"Semen Achefer-Wereda","Population, Both Sexes","Total","Persons","2007","189716"
"Bahri Dar Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","182730"
"Yilma Na Densa-Wereda","Population, Both Sexes","Total","Persons","2007","214852"
"Mecha-Wereda","Population, Both Sexes","Total","Persons","2007","292080"
"Sekela-Wereda","Population, Both Sexes","Total","Persons","2007","138691"
"Quarit-Wereda","Population, Both Sexes","Total","Persons","2007","114771"
"Dega Damot-Wereda","Population, Both Sexes","Total","Persons","2007","152343"
"Dembecha-Wereda","Population, Both Sexes","Total","Persons","2007","129260"
"Jabi Tehnan-Wereda","Population, Both Sexes","Total","Persons","2007","179342"
"Bure-Wereda","Population, Both Sexes","Total","Persons","2007","143132"
"Wonberma-Wereda","Population, Both Sexes","Total","Persons","2007","100570"
"Goncha-Wereda","Population, Both Sexes","Total","Persons","2007","106688"
"Debub Achefer-Wereda","Population, Both Sexes","Total","Persons","2007","136508"
"Waghemira-Zone","Population, Both Sexes","Total","Persons","2007","426213"
"Ziquala-Wereda","Population, Both Sexes","Total","Persons","2007","44013"
"Sekota-Wereda","Population, Both Sexes","Total","Persons","2007","112396"
"Dehana-Wereda","Population, Both Sexes","Total","Persons","2007","109725"
"Gazgibla-Wereda","Population, Both Sexes","Total","Persons","2007","70854"
"Abergele-Wereda","Population, Both Sexes","Total","Persons","2007","43191"
"Sehala-Wereda","Population, Both Sexes","Total","Persons","2007","23688"
"Awi-Zone","Population, Both Sexes","Total","Persons","2007","982942"
"Dangila-Wereda","Population, Both Sexes","Total","Persons","2007","158688"
"Banja Shekudad-Wereda","Population, Both Sexes","Total","Persons","2007","111975"
"Ankasha Guagusa-Wereda","Population, Both Sexes","Total","Persons","2007","199826"
"Guangua-Wereda","Population, Both Sexes","Total","Persons","2007","223066"
"Fagita Lekoma-Wereda","Population, Both Sexes","Total","Persons","2007","126367"
"Jawi-Wereda","Population, Both Sexes","Total","Persons","2007","79090"
"Guagusa Shikudad-Wereda","Population, Both Sexes","Total","Persons","2007","83930"
"Oromiya-Zone","Population, Both Sexes","Total","Persons","2007","457278"
"Dawa Chefa-Wereda","Population, Both Sexes","Total","Persons","2007","133388"
"Bati-Wereda","Population, Both Sexes","Total","Persons","2007","107387"
"Jile Timuga-Wereda","Population, Both Sexes","Total","Persons","2007","72882"
"Artuma Fursi-Wereda","Population, Both Sexes","Total","Persons","2007","82842"
"Dawa Harewa-Wereda","Population, Both Sexes","Total","Persons","2007","41359"
"Bahir Dar Special Zone","Population, Both Sexes","Total","Persons","2007","221991"
"Argoba Special-Wereda","Population, Both Sexes","Total","Persons","2007","34998"
"Benshangul Gumuz-Region","Population, Both Sexes","Total","Persons","2007","784345"
"Metekel-Zone","Population, Both Sexes","Total","Persons","2007","276367"
"Dangur-Wereda","Population, Both Sexes","Total","Persons","2007","48537"
"Guba-Wereda","Population, Both Sexes","Total","Persons","2007","14907"
"Wenbera-Wereda","Population, Both Sexes","Total","Persons","2007","60000"
"Mandura-Wereda","Population, Both Sexes","Total","Persons","2007","40746"
"Dibate-Wereda","Population, Both Sexes","Total","Persons","2007","66654"
"Bulen-Wereda","Population, Both Sexes","Total","Persons","2007","45523"
"Asossa-Zone","Population, Both Sexes","Total","Persons","2007","310822"
"Menge-Wereda","Population, Both Sexes","Total","Persons","2007","40240"
"Kurmuk-Wereda","Population, Both Sexes","Total","Persons","2007","16734"
"Asossa-Wereda","Population, Both Sexes","Total","Persons","2007","104147"
"Sherkole-Wereda","Population, Both Sexes","Total","Persons","2007","24679"
"Bambasi-Wereda","Population, Both Sexes","Total","Persons","2007","48694"
"Odabuldi Guli-Wereda","Population, Both Sexes","Total","Persons","2007","54584"
"Homesha-Wereda","Population, Both Sexes","Total","Persons","2007","21744"
"Kemashi-Zone","Population, Both Sexes","Total","Persons","2007","101543"
"Yaso-Wereda","Population, Both Sexes","Total","Persons","2007","12747"
"Sirba Abay-Wereda","Population, Both Sexes","Total","Persons","2007","17996"
"Kemashi-Wereda","Population, Both Sexes","Total","Persons","2007","17883"
"Agelo Meti-Wereda","Population, Both Sexes","Total","Persons","2007","22774"
"Belojegonfoy-Wereda","Population, Both Sexes","Total","Persons","2007","30143"
"Pawe Special-Wereda","Population, Both Sexes","Total","Persons","2007","45552"
"Mao Komo Special-Wereda","Population, Both Sexes","Total","Persons","2007","50061"
"Dire Dawa City Administration","Population, Both Sexes","Total","Persons","2007","341834"
"Gambela-Region","Population, Both Sexes","Total","Persons","2007","307096"
"Agnewak-Zone","Population, Both Sexes","Total","Persons","2007","99556"
"Gambela Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","10590"
"Abobo-Wereda","Population, Both Sexes","Total","Persons","2007","15741"
"Gog-Wereda","Population, Both Sexes","Total","Persons","2007","16836"
"Jor-Wereda","Population, Both Sexes","Total","Persons","2007","9366"
"Dima-Wereda","Population, Both Sexes","Total","Persons","2007","8001"
"Nuwer-Zone","Population, Both Sexes","Total","Persons","2007","112606"
"Lare-Wereda","Population, Both Sexes","Total","Persons","2007","31406"
"Jikawo-Wereda","Population, Both Sexes","Total","Persons","2007","35556"
"Wantawo-Wereda","Population, Both Sexes","Total","Persons","2007","20970"
"Akobo-Wereda","Population, Both Sexes","Total","Persons","2007","24674"
"Mezhenger-Zone","Population, Both Sexes","Total","Persons","2007","59248"
"Godare-Wereda","Population, Both Sexes","Total","Persons","2007","38781"
"Mengesh-Wereda","Population, Both Sexes","Total","Persons","2007","20467"
"Etang Special-Wereda","Population, Both Sexes","Total","Persons","2007","35686"
"Harari-Region","Population, Both Sexes","Total","Persons","2007","183415"
"Oromiya-Region","Population, Both Sexes","Total","Persons","2007","26993933"
"West Wellega-Zone","Population, Both Sexes","Total","Persons","2007","1350415"
"Menesibu-Wereda","Population, Both Sexes","Total","Persons","2007","126083"
"Nejo-Wereda","Population, Both Sexes","Total","Persons","2007","130909"
"Gimbi-Wereda","Population, Both Sexes","Total","Persons","2007","74623"
"Lalo Asabi-Wereda","Population, Both Sexes","Total","Persons","2007","75584"
"Kiltu Kara-Wereda","Population, Both Sexes","Total","Persons","2007","51800"
"Boji Dirmeji-Wereda","Population, Both Sexes","Total","Persons","2007","42813"
"Guliso-Wereda","Population, Both Sexes","Total","Persons","2007","69856"
"Jarso-Wereda","Population, Both Sexes","Total","Persons","2007","48561"
"Kondala-Wereda","Population, Both Sexes","Total","Persons","2007","96253"
"Boji Chekorsa-Wereda","Population, Both Sexes","Total","Persons","2007","48871"
"Babo Gambel-Wereda","Population, Both Sexes","Total","Persons","2007","60513"
"Yubdo-Wereda","Population, Both Sexes","Total","Persons","2007","38858"
"Genji-Wereda","Population, Both Sexes","Total","Persons","2007","59793"
"Haru-Wereda","Population, Both Sexes","Total","Persons","2007","67262"
"Nole Kaba-Wereda","Population, Both Sexes","Total","Persons","2007","59826"
"Begi-Wereda","Population, Both Sexes","Total","Persons","2007","119722"
"Seyo Nole-Wereda","Population, Both Sexes","Total","Persons","2007","76013"
"Homa-Wereda","Population, Both Sexes","Total","Persons","2007","24557"
"Ayira-Wereda","Population, Both Sexes","Total","Persons","2007","47537"
"East Wellega-Zone","Population, Both Sexes","Total","Persons","2007","1213503"
"Limu-Wereda","Population, Both Sexes","Total","Persons","2007","72483"
"Ibantu-Wereda","Population, Both Sexes","Total","Persons","2007","36280"
"Gida Kiremu-Wereda","Population, Both Sexes","Total","Persons","2007","158635"
"Haro Limu-Wereda","Population, Both Sexes","Total","Persons","2007","52163"
"Boneya Bushe-Wereda","Population, Both Sexes","Total","Persons","2007","47886"
"Wayu Tuka-Wereda","Population, Both Sexes","Total","Persons","2007","63180"
"Gudeya Bila-Wereda","Population, Both Sexes","Total","Persons","2007","54744"
"Gobu Seyo-Wereda","Population, Both Sexes","Total","Persons","2007","41012"
"Sibu Sire-Wereda","Population, Both Sexes","Total","Persons","2007","102228"
"Diga-Wereda","Population, Both Sexes","Total","Persons","2007","66689"
"Sasiga-Wereda","Population, Both Sexes","Total","Persons","2007","80814"
"Leka Dulecha-Wereda","Population, Both Sexes","Total","Persons","2007","72057"
"Guto Gida-Wereda","Population, Both Sexes","Total","Persons","2007","89906"
"Jima Arjo-Wereda","Population, Both Sexes","Total","Persons","2007","86329"
"Nunu kumba-Wereda","Population, Both Sexes","Total","Persons","2007","64775"
"Wama Hagelo-Wereda","Population, Both Sexes","Total","Persons","2007","49103"
"Ilu Aba Bora-Zone","Population, Both Sexes","Total","Persons","2007","1271609"
"Darimu-Wereda","Population, Both Sexes","Total","Persons","2007","145070"
"Alje Sachi-Wereda","Population, Both Sexes","Total","Persons","2007","76611"
"Chora-Wereda","Population, Both Sexes","Total","Persons","2007","100506"
"DEGA-wereda","Population, Both Sexes","Total","Persons","2007","39466"
"Dabo Hana-Wereda","Population, Both Sexes","Total","Persons","2007","41285"
"Gechi-Wereda","Population, Both Sexes","Total","Persons","2007","70478"
"Borecha-Wereda","Population, Both Sexes","Total","Persons","2007","73708"
"Dedesa-Wereda","Population, Both Sexes","Total","Persons","2007","84929"
"Yayu-Wereda","Population, Both Sexes","Total","Persons","2007","52851"
"Metu Zuriya Wereda","Population, Both Sexes","Total","Persons","2007","61954"
"Ale-Wereda","Population, Both Sexes","Total","Persons","2007","64266"
"Bure-Wereda (Ilu Aba Bora-Zone)","Population, Both Sexes","Total","Persons","2007","50841"
"Nono Sele-Wereda","Population, Both Sexes","Total","Persons","2007","22902"
"Bicho-Wereda","Population, Both Sexes","Total","Persons","2007","24947"
"Bilo Nopha-Wereda","Population, Both Sexes","Total","Persons","2007","28810"
"Hurumu-Wereda","Population, Both Sexes","Total","Persons","2007","42667"
"Didu-Wereda","Population, Both Sexes","Total","Persons","2007","32639"
"Mako-Wereda","Population, Both Sexes","Total","Persons","2007","22001"
"Halu Wereda","Population, Both Sexes","Total","Persons","2007","16881"
"Bedele Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","77687"
"Chewaka-Wereda","Population, Both Sexes","Total","Persons","2007","56106"
"Doreni-Wereda","Population, Both Sexes","Total","Persons","2007","36705"
"Jimma -Zone","Population, Both Sexes","Total","Persons","2007","2486155"
"Limu Seka-Wereda","Population, Both Sexes","Total","Persons","2007","189463"
"Limu Kosa-Wereda","Population, Both Sexes","Total","Persons","2007","161338"
"Sokoru-Wereda","Population, Both Sexes","Total","Persons","2007","136320"
"Tiro Afeta-Wereda","Population, Both Sexes","Total","Persons","2007","131536"
"Kersa-Wereda (Jimma -Zone)","Population, Both Sexes","Total","Persons","2007","165391"
"Mana-Wereda","Population, Both Sexes","Total","Persons","2007","146675"
"Gomma-Wereda","Population, Both Sexes","Total","Persons","2007","213023"
"Gera-Wereda","Population, Both Sexes","Total","Persons","2007","112395"
"Seka Chekorsa-Wereda","Population, Both Sexes","Total","Persons","2007","208096"
"Dedo-Wereda","Population, Both Sexes","Total","Persons","2007","288457"
"Omonada-Wereda","Population, Both Sexes","Total","Persons","2007","248173"
"Sigamo-Wereda","Population, Both Sexes","Total","Persons","2007","92313"
"Setema-Wereda","Population, Both Sexes","Total","Persons","2007","103221"
"Shebe Senbo-Wereda","Population, Both Sexes","Total","Persons","2007","112068"
"Chora Botor-Wereda","Population, Both Sexes","Total","Persons","2007","91738"
"Guma-Wereda","Population, Both Sexes","Total","Persons","2007","60490"
"West Shewa-Zone","Population, Both Sexes","Total","Persons","2007","2058676"
"Ginde Beret-Wereda","Population, Both Sexes","Total","Persons","2007","104595"
"Jeldu-Wereda","Population, Both Sexes","Total","Persons","2007","202716"
"Ambo Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","108406"
"Midakegn-Wereda","Population, Both Sexes","Total","Persons","2007","79580"
"Cheliya-Wereda","Population, Both Sexes","Total","Persons","2007","156962"
"Bako Tibe-Wereda","Population, Both Sexes","Total","Persons","2007","123031"
"Dano-Wereda","Population, Both Sexes","Total","Persons","2007","97243"
"Nono-Wereda","Population, Both Sexes","Total","Persons","2007","84248"
"Tikur Enchini-Wereda","Population, Both Sexes","Total","Persons","2007","71417"
"Dendi-Wereda","Population, Both Sexes","Total","Persons","2007","165803"
"Ejere-Wereda","Population, Both Sexes","Total","Persons","2007","86934"
"Wolmera-Wereda","Population, Both Sexes","Total","Persons","2007","83823"
"Ada Berga-Wereda","Population, Both Sexes","Total","Persons","2007","120654"
"Meta Robi-Wereda","Population, Both Sexes","Total","Persons","2007","140627"
"Abuna Gindeberet-Wereda","Population, Both Sexes","Total","Persons","2007","109275"
"Toke Kutayu-Wereda","Population, Both Sexes","Total","Persons","2007","119999"
"Jibat-Wereda","Population, Both Sexes","Total","Persons","2007","72210"
"Elfata-Wereda","Population, Both Sexes","Total","Persons","2007","57389"
"NORTH SHEWA ZONE (Oromiya-Region)","Population, Both Sexes","Total","Persons","2007","1431305"
"Were Jarso-Wereda","Population, Both Sexes","Total","Persons","2007","141426"
"Dera-Wereda (Oromiya-Region)","Population, Both Sexes","Total","Persons","2007","181217"
"Hidabu Abote-Wereda","Population, Both Sexes","Total","Persons","2007","82994"
"Kuyu-Wereda","Population, Both Sexes","Total","Persons","2007","121052"
"Degem-Wereda","Population, Both Sexes","Total","Persons","2007","99143"
"Girar Jarso-Wereda","Population, Both Sexes","Total","Persons","2007","67312"
"Debere Libanos-Wereda","Population, Both Sexes","Total","Persons","2007","45179"
"Wuchale-Wereda","Population, Both Sexes","Total","Persons","2007","97529"
"Abichuna Gnaa-Wereda","Population, Both Sexes","Total","Persons","2007","74376"
"Kimbibit-Wereda","Population, Both Sexes","Total","Persons","2007","74276"
"Bereh-Wereda","Population, Both Sexes","Total","Persons","2007","80808"
"Sululta-Wereda","Population, Both Sexes","Total","Persons","2007","129000"
"Yaya Gulele-Wereda","Population, Both Sexes","Total","Persons","2007","54992"
"Jida-Wereda","Population, Both Sexes","Total","Persons","2007","53658"
"Mulo-Wereda","Population, Both Sexes","Total","Persons","2007","35138"
"Aleltu-Wereda","Population, Both Sexes","Total","Persons","2007","53414"
"East Shewa-Zone","Population, Both Sexes","Total","Persons","2007","1356342"
"Fentale-Wereda","Population, Both Sexes","Total","Persons","2007","81740"
"Boset-Wereda","Population, Both Sexes","Total","Persons","2007","142112"
"Adama-Wereda","Population, Both Sexes","Total","Persons","2007","155349"
"Lome-Wereda","Population, Both Sexes","Total","Persons","2007","117080"
"Gimbichu-Wereda","Population, Both Sexes","Total","Persons","2007","86902"
"Ada A-Wereda","Population, Both Sexes","Total","Persons","2007","130321"
"Dugda-Wereda","Population, Both Sexes","Total","Persons","2007","144910"
"Adami Tulu Jido Kombolcha-Wereda","Population, Both Sexes","Total","Persons","2007","141405"
"Bora-Wereda","Population, Both Sexes","Total","Persons","2007","58748"
"Liben-Wereda (East Shewa-Zone)","Population, Both Sexes","Total","Persons","2007","76351"
"Akaki-Wereda","Population, Both Sexes","Total","Persons","2007","77836"
"Arsi-Zone","Population, Both Sexes","Total","Persons","2007","2637657"
"Merti-Wereda","Population, Both Sexes","Total","Persons","2007","90408"
"Aseko-Wereda","Population, Both Sexes","Total","Persons","2007","84112"
"Gololcha-Wereda","Population, Both Sexes","Total","Persons","2007","172176"
"Jeju-Wereda","Population, Both Sexes","Total","Persons","2007","124093"
"Dodota-Wereda","Population, Both Sexes","Total","Persons","2007","64310"
"Ziway Dugda-Wereda","Population, Both Sexes","Total","Persons","2007","120862"
"Hitosa-Wereda","Population, Both Sexes","Total","Persons","2007","124219"
"Sude-Wereda","Population, Both Sexes","Total","Persons","2007","147764"
"Chole-Wereda","Population, Both Sexes","Total","Persons","2007","89291"
"Amigna-Wereda","Population, Both Sexes","Total","Persons","2007","73245"
"Seru-Wereda","Population, Both Sexes","Total","Persons","2007","47929"
"Robe-Wereda","Population, Both Sexes","Total","Persons","2007","165210"
"Tena-Wereda","Population, Both Sexes","Total","Persons","2007","66203"
"Shirka-Wereda","Population, Both Sexes","Total","Persons","2007","163823"
"Digluna Tijo-Wereda","Population, Both Sexes","Total","Persons","2007","140466"
"Tiyo-Wereda","Population, Both Sexes","Total","Persons","2007","86761"
"Munesa-Wereda","Population, Both Sexes","Total","Persons","2007","166539"
"Limuna Bilbilo-Wereda","Population, Both Sexes","Total","Persons","2007","180695"
"Guna-Wereda","Population, Both Sexes","Total","Persons","2007","76365"
"Sire-Wereda","Population, Both Sexes","Total","Persons","2007","73970"
"Lude Hitosa-Wereda","Population, Both Sexes","Total","Persons","2007","107133"
"Deksis-Wereda","Population, Both Sexes","Total","Persons","2007","72301"
"Bale Gasegar-Wereda","Population, Both Sexes","Total","Persons","2007","73952"
"Enkelo Wabe-Wereda","Population, Both Sexes","Total","Persons","2007","58561"
"West Hararge-Zone","Population, Both Sexes","Total","Persons","2007","1871706"
"Mieso-Wereda","Population, Both Sexes","Total","Persons","2007","130709"
"Doba-Wereda","Population, Both Sexes","Total","Persons","2007","133939"
